url,title,date
https://www.metropoles.com/distrito-federal/video-mostra-jovem-esfaqueando-e-matando-homem-de-44-anos-no-df,Vídeo mostra jovem esfaqueando e matando homem de 44 anos no DF,24/02/2021 17:31:02
https://www.metropoles.com/distrito-federal/comissao-na-cldf-solicita-ao-gdf-que-faca-a-compra-direta-de-vacinas,Comissão na CLDF solicita ao GDF que faça a compra direta de vacinas,24/02/2021 17:22:23
https://www.metropoles.com/distrito-federal/empresa-que-negocia-vacinas-da-india-e-alvo-de-operacao-do-mpdft,Empresa que negocia vacinas da Índia é alvo de operação do MPDFT,24/02/2021 16:23:37
https://www.metropoles.com/colunas/janela-indiscreta/ibaneis-reativa-conta-no-twitter-e-escreve-governador-ta-on,Ibaneis reativa conta no Twitter e escreve: &#8220;Governador tá ON&#8221;,24/02/2021 15:08:04
https://www.metropoles.com/distrito-federal/morta-apos-ser-atropelada-por-caminhonete-vitoria-e-enterrada-no-df,Morta após ser atropelada por caminhonete Vitória é enterrada no DF,24/02/2021 15:06:10
https://www.metropoles.com/distrito-federal/primeiro-a-ver-corpos-de-pais-mortos-pelo-filho-fiquei-em-choque,Primeiro a ver corpos de pais mortos pelo filho: &#8220;Fiquei em choque&#8221;,24/02/2021 14:46:22
https://www.metropoles.com/distrito-federal/trio-e-condenado-por-matar-jovem-com-16-tiros-em-distribuidora-do-df,Trio é condenado por matar jovem com 16 tiros em distribuidora do DF,24/02/2021 14:18:05
https://www.metropoles.com/colunas/janela-indiscreta/justica-condena-medico-do-df-por-morte-de-bebe-durante-o-parto,Justiça condena médico do DF por morte de bebê durante o parto,24/02/2021 13:59:24
https://www.metropoles.com/distrito-federal/sepultamento-do-pioneiro-roberto-curi-sera-nesta-quarta-feira-no-df,Sepultamento do pioneiro Roberto Curi será nesta quarta-feira no DF,24/02/2021 13:02:16
https://www.metropoles.com/distrito-federal/entorno/prefeito-desmente-boatos-de-que-barragem-de-corumba-iv-pode-se-romper,Prefeito desmente boatos de que Barragem de Corumbá IV pode se romper,24/02/2021 12:54:09
https://www.metropoles.com/distrito-federal/crime-em-aguas-claras-homem-deixou-faca-encravada-no-pescoco-do-pai,Crime em Águas Claras: homem deixou faca encravada no pescoço do pai,24/02/2021 12:32:37
https://www.metropoles.com/distrito-federal/homem-mata-os-pais-a-facadas-em-aguas-claras-e-fere-a-irma,Homem mata os pais a facadas em Águas Claras e fere a irmã,24/02/2021 11:39:22
https://www.metropoles.com/distrito-federal/ibaneis-sobre-caiado-que-ele-assuma-sua-responsabilidade,Ibaneis sobre Caiado: &#8220;Que ele assuma sua responsabilidade&#8221;,24/02/2021 11:34:34
https://www.metropoles.com/distrito-federal/mulheres-representam-647-dos-desempregados-no-df,Mulheres representam 647% dos desempregados no DF,24/02/2021 11:08:18
https://www.metropoles.com/distrito-federal/esperamos-vacinar-idosos-a-partir-de-75-anos-na-quinta-diz-ibaneis,&#8220;Esperamos vacinar idosos a partir de 75 anos na quinta&#8221; diz Ibaneis,24/02/2021 11:00:51
https://www.metropoles.com/distrito-federal/pcdf-prende-estelionatarios-acusados-de-falsificacao-e-receptacao,PCDF prende estelionatários acusados de falsificação e receptação,24/02/2021 09:56:32
https://www.metropoles.com/colunas/janela-indiscreta/df-recebe-255-mil-doses-da-vacina-da-astrazeneca-nesta-quarta-feira,DF recebe 255 mil doses da vacina da AstraZeneca nesta quarta-feira,24/02/2021 09:23:47
https://www.metropoles.com/distrito-federal/mulher-morre-baleada-durante-assalto-no-df-policia-investiga,Mulher morre baleada durante assalto no DF. Polícia investiga,24/02/2021 08:58:06
https://www.metropoles.com/distrito-federal/policia-civil-prende-traficante-com-haxixe-potencializado-no-df,Polícia Civil prende traficante com haxixe potencializado no DF,24/02/2021 07:44:13
https://www.metropoles.com/distrito-federal/corpo-de-homem-e-achado-amarrado-em-cacamba-de-lixo-perto-de-escola,Corpo de homem é achado amarrado em caçamba de lixo perto de escola,24/02/2021 06:55:22
https://www.metropoles.com/colunas/janela-indiscreta/variantes-da-covid-dezenas-de-casos-suspeitos-estao-em-apuracao-no-df,Variantes da Covid: dezenas de casos suspeitos estão em apuração no DF,24/02/2021 04:58:48
https://www.metropoles.com/distrito-federal/hackers-montam-grupos-no-whatsapp-para-tentar-fraudar-pix,Hackers montam grupos no WhatsApp para tentar fraudar Pix,24/02/2021 04:45:55
https://www.metropoles.com/distrito-federal/enfrentamento-a-pandemia-no-df-tem-r-461-milhoes-a-menos-em-2021,Enfrentamento à pandemia no DF tem R$ 461 milhões a menos em 2021,24/02/2021 04:45:49
https://www.metropoles.com/distrito-federal/justica-impede-que-condominios-do-df-ofertem-servicos-de-advocacia,Justiça impede que condomínios do DF ofertem serviços de advocacia,24/02/2021 04:45:47
https://www.metropoles.com/distrito-federal/beneficiarios-do-parque-dos-ipes-tem-ate-quinta-para-assinar-contratos,Beneficiários do Parque dos Ipês têm até quinta para assinar contratos,24/02/2021 04:45:42
https://www.metropoles.com/distrito-federal/para-postos-do-df-decreto-de-bolsonaro-sobre-precos-nao-e-exequivel,Para postos do DF decreto de Bolsonaro sobre preços &#8220;não é exequível&#8221;,24/02/2021 04:45:15
https://www.metropoles.com/distrito-federal/tres-regioes-do-df-ficarao-sem-luz-nesta-quarta-feira-veja-quais,Três regiões do DF ficarão sem luz nesta quarta-feira. Veja quais,24/02/2021 04:45:02
https://www.metropoles.com/distrito-federal/gdf-prorroga-suspensao-de-cobranca-das-areas-para-feiras-e-trailers,GDF prorroga suspensão de cobrança das áreas para feiras e trailers,24/02/2021 04:45:01
https://www.metropoles.com/distrito-federal/policia-militar-resgata-nove-aves-silvestres-no-df,Polícia Militar resgata nove aves silvestres no DF,23/02/2021 23:53:47
https://www.metropoles.com/distrito-federal/regulamentacao-de-clinicas-veterinarias-em-brasilia-e-aprovada-na-cldf,Regulamentação de clínicas veterinárias em Brasília é aprovada na CLDF,23/02/2021 23:37:33
https://www.metropoles.com/distrito-federal/distritais-autorizam-provimento-para-250-cargos-no-gdf,Distritais autorizam provimento para 250 cargos no GDF,23/02/2021 22:59:36
https://www.metropoles.com/distrito-federal/df-homem-e-preso-com-15-kgs-de-anestesico-usado-na-mistura-da-cocaina,DF: homem é preso com 15kg de anestésico que potencializa a cocaína,23/02/2021 22:44:17
https://www.metropoles.com/distrito-federal/estacao-de-brt-ganha-nome-de-residencia-de-niemeyer-no-df-nos-anos-60,Estação de BRT ganha nome de residência de Niemeyer no DF nos anos 60,23/02/2021 22:32:34
